"ID"	"wc2.1_10m_bio_1"	"wc2.1_10m_bio_2"	"wc2.1_10m_bio_3"	"wc2.1_10m_bio_4"	"wc2.1_10m_bio_5"	"wc2.1_10m_bio_6"	"wc2.1_10m_bio_7"	"wc2.1_10m_bio_8"	"wc2.1_10m_bio_9"	"wc2.1_10m_bio_10"	"wc2.1_10m_bio_11"	"wc2.1_10m_bio_12"	"wc2.1_10m_bio_13"	"wc2.1_10m_bio_14"	"wc2.1_10m_bio_15"	"wc2.1_10m_bio_16"	"wc2.1_10m_bio_17"	"wc2.1_10m_bio_18"	"wc2.1_10m_bio_19"
1	16.4543647766113	9.35572910308838	53.3972320556641	287.721160888672	25.7172508239746	8.19624996185303	17.5209999084473	12.9814167022705	19.9667911529541	19.9667911529541	12.9814167022705	523	67	24	37.415958404541	194	79	79	194
2	15.1771879196167	10.7895412445068	51.7390937805176	362.041717529297	26.2430000305176	5.38924980163574	20.8537502288818	10.7184162139893	19.5201663970947	19.5201663970947	10.7184162139893	795	120	25	56.4027633666992	350	81	81	350
3	13.5061044692993	10.6262083053589	52.1845436096191	355.646057128906	24.3840007781982	4.02124977111816	20.3627510070801	9.14620780944824	17.7915420532227	17.7915420532227	9.14620780944824	709	106	26	50.6539878845215	298	84	84	298
4	16.516206741333	8.65916728973389	52.3628807067871	291.222503662109	25.1252632141113	8.58842086791992	16.5368423461914	12.9754390716553	19.9675445556641	20.0200004577637	12.9754390716553	592	100	17	65.6112442016602	280	54	55	280
5	15.9634370803833	12.2107086181641	52.4853134155273	411.101440429688	27.9209995269775	4.6560001373291	23.2649993896484	10.8952503204346	19.5766258239746	20.8431243896484	10.8952503204346	375	43	21	23.0197086334229	119	70	74	119
6	15.2118663787842	9.26759052276611	52.7889518737793	300.275665283203	24.4342784881592	6.87835073471069	17.5559272766113	11.5742692947388	18.8089351654053	18.8407649993896	11.5742692947388	796	119	27	54.9754257202148	347	83	85	347
7	16.516206741333	8.65916728973389	52.3628807067871	291.222503662109	25.1252632141113	8.58842086791992	16.5368423461914	12.9754390716553	19.9675445556641	20.0200004577637	12.9754390716553	592	100	17	65.6112442016602	280	54	55	280
8	15.2118663787842	9.26759052276611	52.7889518737793	300.275665283203	24.4342784881592	6.87835073471069	17.5559272766113	11.5742692947388	18.8089351654053	18.8407649993896	11.5742692947388	796	119	27	54.9754257202148	347	83	85	347
9	16.516206741333	8.65916728973389	52.3628807067871	291.222503662109	25.1252632141113	8.58842086791992	16.5368423461914	12.9754390716553	19.9675445556641	20.0200004577637	12.9754390716553	592	100	17	65.6112442016602	280	54	55	280
10	15.8882474899292	8.06089687347412	52.4701652526855	267.464263916016	23.8025646209717	8.4397439956665	15.3628206253052	12.6726493835449	19.1160259246826	19.1160259246826	12.6726493835449	690	105	23	55.4221115112305	304	72	72	304
11	16.516206741333	8.65916728973389	52.3628807067871	291.222503662109	25.1252632141113	8.58842086791992	16.5368423461914	12.9754390716553	19.9675445556641	20.0200004577637	12.9754390716553	592	100	17	65.6112442016602	280	54	55	280
12	15.8882474899292	8.06089687347412	52.4701652526855	267.464263916016	23.8025646209717	8.4397439956665	15.3628206253052	12.6726493835449	19.1160259246826	19.1160259246826	12.6726493835449	690	105	23	55.4221115112305	304	72	72	304
13	15.8882474899292	8.06089687347412	52.4701652526855	267.464263916016	23.8025646209717	8.4397439956665	15.3628206253052	12.6726493835449	19.1160259246826	19.1160259246826	12.6726493835449	690	105	23	55.4221115112305	304	72	72	304
14	16.516206741333	8.65916728973389	52.3628807067871	291.222503662109	25.1252632141113	8.58842086791992	16.5368423461914	12.9754390716553	19.9675445556641	20.0200004577637	12.9754390716553	592	100	17	65.6112442016602	280	54	55	280
15	15.8212366104126	9.19516181945801	54.2642288208008	278.253784179688	24.6225814819336	7.67741918563843	16.945161819458	12.4208908081055	19.1864814758301	19.1864814758301	12.4208908081055	679	95	25	48.4356918334961	281	79	79	281
16	15.8212366104126	9.19516181945801	54.2642288208008	278.253784179688	24.6225814819336	7.67741918563843	16.945161819458	12.4208908081055	19.1864814758301	19.1864814758301	12.4208908081055	679	95	25	48.4356918334961	281	79	79	281
17	14.5808019638062	10.416937828064	52.9484062194824	333.729309082031	24.9995002746582	5.32574987411499	19.6737499237061	10.4846248626709	18.5982494354248	18.5982494354248	10.4846248626709	823	122	28	52.5126266479492	350	90	90	350
18	15.4802780151367	10.1797857284546	52.4211616516113	335.158996582031	25.7566661834717	6.33743572235107	19.4192314147949	11.3851709365845	19.4742298126221	19.4976921081543	11.3851709365845	792	119	25	56.3833694458008	349	80	81	349
